District,usual residence population,roofless persons,total_population,percentage,population_density
Colombo,2373925,536,2374461,10.9,3549
Gampaha,2433456,229,2433685,11.2,1774
Kalutara,1305476,76,1305552,6,804
Kandy,1461130,139,1461269,6.7,779
Matale,526557,21,526578,2.4,267
Nuwara Eliya,724944,13,724957,3.3,427
Galle,1096446,139,1096585,5,694
Matara,837751,133,837884,3.9,648
Hambantota,671002,35,671037,3.1,272
Jaffna,594281,52,594333,2.7,630
Mannar,123670,4,123674,0.6,66
Vavuniya,172225,32,172257,0.8,96
Mullaitivu,122540,2,122542,0.6,50
Kilinochchi,136434,0,136434,0.6,115
Batticaloa,595406,29,595435,2.7,251
Ampara,744130,20,744150,3.4,178
Trincomalee,442441,24,442465,2,180
Kurunegala,1760694,135,1760829,8.1,379
Puttalam,817952,113,818065,3.8,278
Anuradhapura,959372,180,959552,4.4,147
Polonnaruwa,447311,27,447338,2.1,137
Badulla,871691,72,871763,4,314
Monaragala,527233,53,527286,2.4,96
Ratnapura,1144978,160,1145138,5.3,355
Kegalle,869844,57,869901,4,529
